Hora,Noroeste Ozono,Noroeste diÌ_xido de azufre,Noroeste diÌ_xido de nitrÌ_geno,Noroeste monÌ_xido de carbono,Noroeste PM10,Noreste diÌ_xido de azufre,Noreste diÌ_xido de nitrÌ_geno,Noreste monÌ_xido de carbono,Noreste PM10,Noreste Ozono
1,19,8,8,4,51,5,8,4,58,21
2,21,8,7,4,51,5,6,4,55,23
3,19,8,6,4,49,5,5,4,55,26
4,19,7,7,4,48,5,4,4,54,26
5,17,7,8,4,46,5,6,4,54,23
6,15,7,11,4,45,5,13,4,52,20
7,9,7,14,4,44,5,19,4,52,9
8,4,7,17,4,44,5,17,5,52,12
9,10,8,18,5,46,5,15,5,50,18
10,19,8,13,5,45,5,9,5,48,20
11,26,7,10,5,44,5,10,5,45,23
12,30,6,9,6,43,5,7,5,43,31
13,38,5,6,6,41,5,7,5,41,38
14,41,5,6,6,41,4,6,5,40,42
15,44,5,7,6,40,3,7,5,40,44
16,44,4,5,5,41,2,5,5,39,43
17,41,3,6,5,40,2,5,5,40,39
18,39,2,7,5,39,1,6,4,40,36
19,33,2,8,4,41,1,7,4,41,34
20,31,2,10,4,43,1,8,4,44,30
21,27,2,10,4,44,1,8,4,44,27
22,26,2,10,4,44,1,7,4,43,24
23,26,2,9,4,43,1,7,4,43,23
24,25,2,10,4,43,1,6,4,43,25
1,25,2,10,4,41,1,5,4,43,24
2,23,2,8,4,41,1,5,4,43,24
3,21,2,10,4,41,1,5,4,43,24
4,21,2,10,4,41,1,5,4,43,23
5,21,2,10,4,41,1,10,3,43,19
6,19,2,11,4,41,1,14,3,43,10
7,14,2,17,4,41,1,16,4,44,9
8,10,2,17,4,41,1,16,5,45,10
9,18,2,14,5,41,1,16,5,46,19
10,24,2,11,5,41,1,13,5,49,21
11,28,2,10,5,43,1,9,5,48,29
12,32,2,10,5,43,1,7,6,49,33
13,37,2,7,5,43,2,6,6,50,39
14,41,2,6,5,43,2,6,6,51,44
15,41,2,6,5,44,2,6,6,51,38
16,31,2,8,5,45,2,8,5,52,32
17,31,2,8,5,45,1,8,5,54,31
18,30,2,9,5,45,1,8,5,54,31
19,31,2,9,5,46,1,6,5,55,29
20,30,2,10,5,46,1,8,5,54,29
21,26,2,10,5,44,1,8,5,54,26
22,22,2,10,5,44,1,9,5,51,26
23,22,2,10,5,43,1,8,5,50,27
24,20,2,11,5,43,1,7,4,49,25
1,18,2,12,4,43,1,6,4,48,24
2,15,2,11,4,43,1,8,4,49,23
3,10,2,12,4,43,1,8,4,49,24
4,11,2,16,4,43,1,8,4,50,22
5,16,2,17,4,44,1,13,4,51,19
6,5,2,16,4,44,1,17,4,51,15
7,1,2,17,4,44,2,18,5,52,5
8,3,2,18,5,45,2,17,6,54,4
9,6,2,21,5,46,2,18,8,58,7
10,21,2,15,6,48,2,22,9,65,15
11,26,2,18,6,48,2,11,10,70,26
12,35,2,16,7,49,2,9,10,71,34
13,46,2,14,7,49,2,7,10,71,39
14,48,2,9,7,50,2,5,10,71,41
15,49,2,7,7,50,2,5,10,73,43
16,50,2,6,5,50,2,7,8,71,46
17,47,2,7,5,50,2,7,6,71,46
18,46,2,9,5,49,2,7,5,70,42
19,42,2,11,5,49,2,7,5,67,39
20,33,2,11,5,48,2,8,5,65,31
21,24,2,12,5,48,2,9,5,65,26
22,21,2,11,5,49,2,10,5,67,35
23,19,2,10,5,49,2,10,5,68,24
24,18,2,16,5,50,2,11,5,70,21
1,,2,,5,50,2,,5,70,
2,,2,,5,52,2,,5,71,
3,,2,,5,54,2,,5,73,
4,,2,,,54,2,,,73,
5,7,2,19,,54,2,16,,76,5
6,4,2,17,,54,2,19,,78,13
7,1,2,19,,54,2,20,,80,11
8,1,2,18,,57,2,23,,78,4
9,6,2,22,,58,2,22,,80,11
10,17,2,26,10,60,2,26,13,80,17
11,32,2,22,10,63,2,29,12,80,29
12,41,2,17,9,65,2,19,12,84,47
13,53,2,13,9,65,2,9,12,87,71
14,67,2,8,9,67,2,8,10,86,73
15,63,2,7,9,65,2,7,9,87,92
16,78,2,7,8,65,2,8,8,87,102
17,67,2,10,6,67,2,7,7,87,76
18,49,3,10,5,68,2,8,7,88,53
19,39,2,12,5,68,2,11,7,90,48
20,30,2,10,5,70,2,11,6,93,37
21,27,2,11,5,70,2,11,5,94,27
22,24,2,11,5,70,2,11,5,94,26
23,25,2,11,5,70,3,15,5,94,24
24,22,2,12,5,70,3,15,5,94,24
1,14,2,17,5,68,2,16,5,94,26
2,17,2,19,5,68,2,17,5,93,25
3,20,2,16,5,67,2,19,5,93,10
4,23,2,17,5,67,2,20,5,93,19
5,16,2,20,5,67,2,20,5,93,9
6,5,2,20,5,67,2,20,5,93,3
7,1,2,20,5,65,2,19,6,93,3
8,1,2,22,6,64,3,22,9,96,4
9,11,2,26,7,64,3,27,12,97,6
10,22,2,28,8,63,3,39,15,101,14
11,32,2,20,8,61,3,42,15,101,31
12,43,2,16,8,60,3,29,16,102,44
13,53,2,13,9,60,3,13,16,102,82
14,92,4,8,9,61,3,10,15,102,59
15,90,5,9,8,61,5,7,14,102,61
16,82,5,10,7,63,5,8,11,102,73
17,55,5,9,6,64,5,7,8,103,51
18,40,5,9,5,65,5,8,6,104,39
19,34,5,8,5,67,5,7,5,104,36
20,34,5,12,5,67,5,12,5,104,33
21,31,5,10,5,67,5,11,5,104,26
22,27,5,10,5,67,5,10,5,104,29
23,25,5,12,5,68,5,9,5,104,24
24,24,5,12,5,70,5,7,5,104,26
1,22,5,10,5,71,5,8,5,103,24
2,21,5,11,5,70,5,10,5,103,21
3,22,5,10,5,70,5,11,5,103,19
4,21,5,11,5,68,5,14,5,103,14
5,19,5,12,5,68,5,14,5,103,11
6,19,5,11,5,68,5,15,5,102,12
7,18,5,13,5,68,5,14,5,102,8
8,16,5,14,5,67,5,18,5,100,11
9,16,5,18,5,65,5,17,6,94,14
10,27,5,15,5,64,5,13,7,87,21
11,29,5,11,5,64,5,9,7,81,27
12,35,5,10,5,63,5,7,7,74,38
13,48,5,10,5,63,5,6,7,70,49
14,63,5,9,5,61,4,7,7,70,59
15,78,4,11,6,61,3,8,7,70,61
16,39,2,7,5,64,2,6,7,73,34
17,31,2,9,5,67,2,5,6,76,24
18,25,2,9,5,65,2,7,6,78,22
19,24,2,10,5,64,2,11,5,76,20
20,24,2,13,5,60,2,15,5,74,22
21,25,2,15,5,60,2,18,5,71,24
22,26,2,10,5,57,2,15,5,70,26
23,26,2,8,5,55,2,9,5,68,21
24,24,2,8,5,55,2,10,5,67,22
1,22,2,10,5,54,2,10,5,67,19
2,21,2,11,4,54,2,8,5,65,21
3,19,2,7,4,52,2,9,5,64,20
4,18,2,7,4,52,2,7,5,63,20
5,18,2,7,3,51,2,5,5,61,21
6,16,2,10,3,50,2,8,5,60,14
7,14,2,11,3,49,2,10,5,58,12
8,14,2,12,3,49,2,12,5,55,10
9,15,2,13,4,48,2,11,5,54,12
10,19,2,12,4,46,2,12,5,52,14
11,22,2,10,5,48,2,12,5,52,19
12,28,2,10,5,46,2,8,6,52,29
13,30,2,11,5,46,2,7,6,54,31
14,35,2,9,5,45,2,6,6,52,34
15,39,2,10,5,44,2,7,6,51,42
16,46,2,8,5,44,2,6,6,48,48
17,42,2,8,5,39,2,5,6,43,47
18,43,2,10,5,38,2,5,6,34,39
19,25,2,9,5,39,2,7,5,34,30
20,13,2,11,5,39,2,8,5,35,16
21,10,3,12,5,39,2,8,5,35,11
22,11,3,12,5,39,2,8,5,35,9
23,9,3,11,5,39,2,9,5,35,9
24,10,3,10,5,38,2,8,5,35,10
1,11,3,9,5,36,2,8,5,35,9
2,10,3,10,5,38,2,10,5,34,9
3,9,3,10,5,36,2,10,5,35,11
4,6,3,10,5,36,2,9,5,35,8
5,3,3,10,5,35,2,9,5,35,5
6,4,3,11,4,35,2,10,5,36,4
7,1,3,11,5,34,2,9,5,36,3
8,1,2,11,5,34,2,9,6,38,3
9,4,2,10,5,35,3,9,7,39,4
10,9,2,13,6,34,3,10,7,39,11
11,14,2,13,6,35,3,8,8,39,18
12,24,2,16,7,35,3,9,8,38,24
13,36,2,18,7,36,3,11,8,36,34
14,44,2,17,8,36,3,13,8,36,43
15,69,2,14,8,36,3,8,8,38,51
16,39,2,17,7,38,3,11,7,39,41
17,21,2,12,7,36,2,9,7,39,29
18,12,2,17,7,35,2,11,6,40,24
19,21,2,15,7,34,2,14,6,40,19
20,16,2,19,7,34,2,18,7,40,17
21,10,2,21,7,34,2,18,7,39,11
22,9,2,21,6,33,2,20,7,38,13
23,5,2,20,7,34,2,18,7,38,7
24,6,2,20,7,34,2,20,8,39,6
1,9,2,19,7,35,2,18,8,40,7
2,11,2,19,7,36,2,18,8,41,6
3,10,3,17,6,36,3,17,7,43,9
4,10,3,17,6,38,3,14,7,43,9
5,6,3,16,6,40,4,13,7,44,8
6,5,3,16,6,40,4,14,7,45,4
7,1,3,16,6,41,5,16,7,46,3
8,1,3,16,6,41,7,14,7,46,3
9,3,3,16,8,43,7,14,7,48,4
10,10,3,19,9,43,8,16,8,49,6
11,16,3,20,9,43,8,16,9,50,11
12,19,3,22,10,41,9,16,10,54,20
13,22,3,19,10,40,10,15,10,57,25
14,25,3,13,10,43,10,19,11,61,24
15,35,3,12,10,44,11,13,10,64,33
16,39,3,6,9,45,12,9,9,65,42
17,42,4,9,7,46,14,6,9,65,49
18,44,5,13,6,48,15,6,8,65,51
19,29,5,13,6,48,14,11,7,67,33
20,25,5,18,6,48,14,12,6,68,29
21,20,5,16,6,49,14,17,6,70,19
22,17,5,15,6,49,14,19,6,70,15
23,14,5,18,5,49,14,18,6,71,9
24,13,5,13,5,49,14,21,7,73,3
1,,5,,5,49,14,,7,73,
2,,5,,5,48,14,,8,73,
3,,5,,5,48,15,,8,74,
4,,5,,,46,15,,,76,
5,17,5,11,,46,15,12,,74,11
6,13,5,10,,46,13,14,,76,10
7,7,5,13,,45,12,15,,74,5
8,5,5,15,,44,11,17,,73,3
9,11,5,16,,43,9,17,,74,4
10,19,5,18,7,41,8,19,11,73,9
11,21,5,20,6,40,8,16,11,73,20
12,24,5,20,7,40,7,14,11,71,30
13,37,5,21,7,41,6,10,11,70,45
14,63,5,18,8,41,6,8,11,67,86
15,108,5,12,8,41,6,8,11,65,92
16,119,5,11,8,41,5,5,9,64,94
17,92,5,14,7,43,5,6,8,65,61
18,34,4,14,7,45,3,9,7,65,36
19,27,4,20,7,45,2,15,7,65,36
20,27,4,24,7,44,2,20,7,64,23
21,29,4,22,7,44,2,26,8,63,16
22,17,4,19,7,44,2,26,8,64,12
23,16,4,23,7,45,2,29,9,64,9
24,14,4,25,7,45,2,29,9,64,7
1,11,5,26,7,41,2,30,10,64,2
2,11,5,24,7,41,2,29,11,64,6
3,16,5,19,7,43,2,26,11,64,9
4,9,5,16,6,44,2,24,11,65,5
5,9,5,17,6,44,2,26,10,67,6
6,6,5,17,6,45,2,22,10,67,4
7,9,5,18,6,46,2,22,10,67,2
8,3,5,18,6,48,2,21,11,68,3
9,4,5,22,7,49,2,20,12,68,4
10,10,5,23,8,50,2,16,12,68,15
11,15,6,22,9,52,2,21,12,70,24
12,22,6,24,10,52,2,23,13,71,33
13,35,6,21,11,54,5,19,13,73,39
14,53,6,19,11,54,5,12,12,76,63
15,80,6,14,11,54,5,10,11,77,78
16,26,6,18,11,54,5,12,9,76,35
17,24,7,20,11,55,5,15,8,74,25
18,27,6,22,10,55,5,14,8,74,24
19,20,6,22,9,55,4,15,7,74,17
20,20,6,25,9,55,4,21,8,74,13
21,17,6,20,8,57,5,26,8,76,14
22,11,6,23,8,57,4,24,9,76,11
23,14,5,21,8,57,4,24,11,76,11
24,15,5,15,8,57,5,22,12,76,11
1,16,5,19,7,57,6,21,12,78,15
2,18,5,21,7,57,8,18,12,77,12
3,18,10,15,6,57,10,16,12,77,18
4,16,12,12,6,58,11,17,11,76,17
5,16,15,15,5,58,11,18,9,76,14
6,11,15,15,5,60,12,18,9,74,7
7,3,17,18,5,60,12,18,8,74,2
8,3,17,18,6,60,12,17,8,77,2
9,5,17,18,7,60,13,15,8,77,6
10,6,17,23,8,61,13,14,9,78,14
11,16,17,18,9,61,13,12,9,77,23
12,30,17,14,9,60,13,8,9,77,29
13,33,17,14,10,57,13,8,9,74,34
14,39,17,12,10,55,13,7,8,70,37
15,46,17,10,9,52,13,7,8,67,43
16,65,17,14,8,51,13,10,7,68,41
17,48,17,16,7,50,13,17,6,71,42
18,41,17,17,6,51,13,16,6,71,39
19,31,17,16,6,50,13,12,6,71,27
20,16,17,14,6,50,13,18,6,73,23
21,15,17,17,6,51,13,19,6,73,19
22,15,17,15,6,51,13,15,7,74,14
23,11,17,18,6,51,13,18,7,73,11
24,8,17,18,7,51,13,16,8,71,13
1,17,16,17,7,51,12,10,7,68,17
2,19,14,10,6,51,11,11,7,67,17
3,18,12,9,6,50,8,10,7,67,18
4,16,9,11,5,51,7,13,7,67,16
5,14,8,10,5,49,5,15,6,65,16
6,11,6,16,5,48,4,16,6,65,10
7,3,5,16,5,48,3,15,6,63,6
8,2,5,18,5,46,2,15,6,58,5
9,4,4,19,5,44,2,15,7,58,7
10,6,4,16,6,43,2,13,8,57,9
11,15,5,17,7,43,2,11,8,55,16
12,24,5,15,8,45,2,9,9,55,23
13,37,5,15,8,48,2,12,9,58,32
14,39,5,16,9,49,2,9,9,61,37
15,47,5,16,9,51,2,6,9,64,44
16,73,5,13,8,54,2,5,7,64,46
17,67,5,13,8,57,2,7,6,63,46
18,76,5,12,7,57,2,7,6,63,35
19,21,8,11,7,55,2,6,5,63,21
20,16,7,14,6,54,2,12,5,64,15
21,14,7,14,6,54,2,16,5,63,9
22,10,7,14,6,51,2,18,5,60,8
23,11,6,16,5,50,2,17,5,61,6
24,10,6,14,5,49,2,16,6,63,6
1,11,6,12,5,48,2,15,7,64,2
2,6,6,12,5,46,2,15,8,64,1
3,4,6,13,5,46,2,14,9,64,2
4,2,6,11,5,45,2,14,9,65,2
5,5,6,12,5,45,2,14,10,67,4
6,6,6,10,5,46,2,12,10,68,7
7,2,6,10,5,46,2,12,10,70,4
8,4,5,11,5,48,2,12,10,71,4
9,9,5,11,5,48,2,14,10,73,6
10,12,4,11,5,46,2,13,10,73,13
11,20,3,11,5,45,2,14,10,74,22
12,31,3,13,5,43,2,15,9,73,30
13,41,2,13,6,41,2,10,9,74,45
14,71,2,10,6,41,2,8,8,74,76
15,100,2,10,6,40,2,6,7,71,90
16,98,2,8,6,40,2,6,6,70,84
17,44,2,6,5,39,2,5,5,70,39
18,27,2,5,5,38,2,7,5,73,23
19,21,2,11,5,39,2,15,5,71,24
20,16,2,9,5,39,2,16,5,70,19
21,16,2,13,5,39,2,18,5,70,15
22,12,2,13,5,40,2,20,7,70,13
23,11,2,16,5,41,2,20,9,70,12
24,15,2,12,5,43,2,19,11,68,10
1,14,2,8,5,44,2,18,13,67,9
2,14,2,8,5,45,2,15,12,67,9
3,12,2,10,5,45,2,16,12,65,9
4,10,2,6,4,45,2,12,11,64,11
5,9,2,8,4,45,2,10,10,63,10
6,6,2,10,4,45,2,10,9,63,5
7,2,3,12,4,44,2,12,8,63,6
8,2,3,11,4,44,2,13,8,63,3
9,9,4,12,5,44,2,13,9,61,8
10,12,5,9,5,44,3,13,9,63,11
11,18,5,9,5,44,3,15,9,61,13
12,25,6,12,6,43,4,16,10,61,20
13,29,6,12,6,43,4,13,10,61,34
14,39,6,10,7,43,4,11,10,60,46
15,71,6,10,7,41,4,8,9,61,63
16,69,6,11,6,40,4,8,7,61,61
17,55,6,13,6,39,4,14,6,63,59
18,38,6,14,6,39,4,13,6,57,34
19,24,6,19,6,39,4,19,6,57,21
20,17,6,21,6,39,4,24,7,57,16
21,17,6,20,6,39,4,26,7,58,9
22,6,6,23,7,38,4,26,8,58,15
23,5,7,23,7,38,4,26,10,58,9
24,13,7,20,8,38,4,25,11,61,8
1,,7,,8,38,4,,11,63,
2,,7,,8,36,4,,12,64,
3,,8,,8,36,4,,12,64,
4,,8,,,36,5,,,65,
5,9,8,9,,38,5,20,,67,4
6,6,8,10,,39,5,15,,68,14
7,8,8,10,,39,2,17,,65,7
8,5,6,11,,40,2,15,,64,2
9,6,5,16,,39,2,16,,61,5
10,10,4,16,7,40,3,19,11,57,11
11,20,4,15,7,40,3,21,12,57,18
12,32,4,12,7,40,3,23,12,58,29
13,44,3,16,8,39,2,20,12,57,40
14,50,3,15,8,39,3,14,12,58,63
15,63,3,14,9,39,3,11,11,60,69
16,46,4,13,8,40,3,14,10,61,57
17,28,4,20,7,40,3,18,9,61,29
18,20,4,21,7,41,3,19,9,63,16
19,23,4,18,7,41,3,23,8,63,17
20,21,4,20,8,41,3,25,8,61,7
21,10,4,29,8,41,3,26,9,61,1
22,9,4,25,9,43,3,26,9,61,4
23,5,4,25,9,43,3,24,10,61,4
24,7,4,24,9,43,3,22,11,60,5
1,14,4,23,9,44,3,21,11,58,1
2,5,4,19,9,43,3,21,11,58,1
3,5,4,18,8,43,3,22,12,57,1
4,6,4,17,7,44,3,20,11,57,1
5,9,4,16,7,43,3,20,11,58,1
6,6,4,15,6,43,3,19,11,58,1
7,1,4,14,6,43,3,20,11,61,1
8,1,4,17,7,41,3,15,12,63,1
9,4,4,18,8,41,3,21,14,65,3
10,10,4,21,9,40,2,24,15,70,8
11,14,4,20,10,40,2,27,14,73,14
12,24,6,15,10,40,2,21,14,73,25
13,34,8,14,10,43,2,12,13,73,39
14,38,8,10,10,44,2,8,12,71,46
15,41,8,10,9,44,2,8,11,68,46
16,44,8,10,8,44,2,8,9,67,42
17,21,8,15,7,44,2,9,7,67,25
18,13,8,21,7,44,2,14,6,64,19
19,11,8,18,6,46,2,13,5,65,22
20,13,8,18,6,45,2,18,5,65,21
21,11,8,20,6,46,2,22,6,65,14
22,11,8,18,6,46,2,22,7,65,14
23,11,8,18,6,45,2,22,8,65,7
24,3,8,19,7,45,2,19,8,65,4
1,4,8,19,7,44,2,19,9,67,4
2,9,8,18,6,44,2,18,9,68,9
3,13,8,12,6,43,2,18,8,68,14
4,11,8,12,5,43,2,16,8,68,15
5,9,8,13,5,43,2,17,8,67,5
6,4,8,13,5,41,2,17,8,65,1
7,1,8,15,5,43,3,17,10,67,1
8,1,8,16,5,43,3,18,10,70,4
9,4,8,16,6,41,4,19,11,70,6
10,8,10,17,6,41,5,20,12,68,9
11,15,8,15,7,41,5,22,13,68,11
12,22,8,16,7,43,5,19,13,68,17
13,27,9,15,8,41,6,13,13,71,26
14,34,8,10,8,39,6,8,12,70,34
15,40,8,9,8,38,5,8,10,70,35
16,36,9,9,7,38,5,6,8,70,33
17,39,9,8,7,38,5,9,7,68,36
18,30,9,12,6,38,5,7,5,70,29
19,18,9,10,6,38,11,10,5,70,21
20,16,9,10,5,39,10,11,5,71,23
21,19,9,11,5,39,10,11,4,71,20
22,21,9,15,5,38,9,12,4,68,21
23,19,9,14,5,38,9,14,4,67,19
24,15,9,10,5,39,8,17,5,64,15
1,19,9,11,5,38,8,17,5,63,17
2,19,9,11,5,38,8,13,5,61,15
3,19,9,12,5,36,8,14,4,61,9
4,17,9,8,5,36,8,14,4,60,10
5,14,9,12,5,36,8,12,4,58,11
6,11,9,14,5,36,8,14,4,57,9
7,9,9,14,5,36,8,13,5,54,6
8,8,8,15,5,36,8,14,5,50,4
9,10,7,14,5,36,6,12,5,49,10
10,9,5,13,5,36,4,10,5,46,13
11,14,5,13,6,36,3,6,5,43,16
12,19,4,9,6,36,3,7,6,39,19
13,24,3,10,6,35,2,7,6,35,23
14,25,3,10,6,34,2,9,5,34,27
15,29,3,10,6,34,2,7,5,34,31
16,30,3,9,6,34,2,8,5,33,29
17,27,3,10,6,33,2,7,5,33,24
18,21,3,10,5,34,2,6,5,33,21
19,13,3,10,5,31,2,8,5,31,17
20,10,3,10,5,30,2,7,5,30,14
21,6,3,10,5,31,2,11,5,31,10
22,6,3,12,5,31,2,12,5,31,7
23,7,3,12,5,33,2,13,5,33,6
24,8,3,11,5,34,2,10,5,33,6
1,6,3,10,5,35,2,12,5,33,8
2,7,3,10,5,36,2,11,5,33,9
3,7,4,8,5,38,2,7,5,31,11
4,8,3,8,5,38,2,8,5,33,9
5,6,3,10,4,38,2,7,5,33,9
6,4,3,9,4,39,2,11,5,33,6
7,2,3,10,4,39,2,11,5,31,6
8,3,3,10,5,39,2,12,5,33,3
9,6,3,11,5,39,2,11,5,31,4
10,9,4,9,5,40,3,12,7,30,8
11,14,5,11,6,40,4,9,7,31,10
12,17,6,10,6,40,4,9,7,33,14
13,19,7,11,6,40,4,8,7,34,21
14,23,8,10,7,41,4,11,7,35,31
15,28,8,9,6,44,4,10,7,35,33
16,28,8,10,6,44,4,8,6,36,20
17,21,8,10,5,45,4,8,5,36,18
18,16,8,10,5,45,4,10,5,36,15
19,9,8,10,5,44,4,10,5,36,10
20,7,8,12,5,44,4,10,5,36,9
21,6,8,12,5,44,4,10,5,36,11
22,4,8,10,5,44,4,10,5,38,10
23,4,8,11,5,44,4,10,6,38,10
24,5,8,11,5,43,4,10,6,36,9
1,6,8,11,5,43,4,10,6,38,6
2,6,8,10,5,41,4,10,6,36,7
3,8,8,10,5,40,4,10,6,38,7
4,6,8,10,5,40,4,10,6,38,8
5,5,8,9,5,40,4,10,7,38,5
6,4,8,8,5,40,4,9,7,39,3
7,3,8,10,4,40,4,9,8,39,2
8,4,8,9,4,40,4,9,8,38,1
9,4,7,10,4,41,4,10,8,38,2
10,11,7,8,5,43,2,12,9,38,6
11,13,6,9,5,43,2,11,9,39,9
12,16,5,9,5,41,2,10,9,39,14
13,15,6,13,5,43,2,11,9,39,14
14,19,6,12,6,41,2,13,9,39,20
15,23,7,10,6,40,2,10,8,39,21
16,31,8,9,6,40,3,10,8,39,29
17,24,8,10,6,39,4,12,7,40,38
18,20,8,9,6,39,4,12,7,41,26
19,16,8,10,6,39,4,15,7,43,17
20,12,8,13,6,40,4,17,7,41,14
21,6,8,15,5,40,4,18,8,41,11
22,5,8,15,5,39,4,20,8,41,8
23,4,8,16,5,38,4,21,8,40,5
24,3,8,16,5,38,4,20,9,41,5
1,,9,,5,36,5,,10,41,
2,,9,,5,38,5,,10,43,
3,,10,,6,38,5,,11,44,
4,,11,,,38,5,,,44,
5,10,11,15,,38,5,9,,44,13
6,4,11,14,,38,5,12,,44,6
7,1,10,13,,38,5,13,,44,1
8,1,10,16,,36,5,14,,44,2
9,2,9,17,,38,5,14,,44,4
10,4,8,17,10,38,5,17,12,44,6
11,10,8,19,10,40,5,15,11,45,12
12,14,8,23,10,40,5,16,12,46,16
13,21,6,21,11,43,5,12,12,46,22
14,28,5,25,11,43,4,11,12,46,29
15,31,4,24,11,43,4,12,11,49,41
16,38,3,22,11,44,3,12,9,49,40
17,37,2,24,10,45,3,15,8,48,44
18,34,2,28,10,46,3,15,7,48,31
19,23,2,31,11,49,3,24,7,49,20
20,13,3,24,10,51,4,27,7,52,16
21,10,5,27,10,51,7,26,8,55,13
22,7,8,26,10,54,8,25,9,57,9
23,9,10,23,11,57,11,24,9,58,6
24,8,11,20,10,58,15,22,10,58,9
1,8,11,17,9,60,18,19,10,58,14
2,10,11,15,8,60,17,20,10,58,13
3,8,11,16,8,60,16,16,10,57,12
4,4,11,17,7,60,16,19,9,58,7
5,3,11,19,7,60,16,14,9,58,5
6,1,11,20,6,60,16,16,9,58,2
7,1,11,19,6,60,16,16,8,60,1
8,1,11,21,9,61,16,16,9,61,1
9,1,11,20,10,60,16,17,11,63,1
10,4,11,21,12,58,16,21,13,64,3
11,11,11,26,13,60,16,26,15,64,9
12,21,12,30,14,60,16,25,15,65,24
13,36,12,22,15,61,16,14,15,68,34
14,49,12,20,15,63,16,10,15,70,45
15,44,12,18,14,64,16,9,14,68,46
16,24,12,23,12,63,16,21,13,67,40
17,41,12,18,10,61,16,21,11,67,27
18,27,12,20,9,60,16,22,9,68,28
19,25,12,25,8,55,15,22,8,68,24
20,20,11,30,7,54,15,24,8,65,16
21,16,9,29,7,52,12,32,8,63,11
22,14,7,31,8,51,12,30,9,63,14
23,8,5,31,10,49,9,30,10,63,14
24,6,5,29,11,49,5,30,11,63,11
1,6,5,27,11,50,3,27,12,63,4
2,6,4,26,12,50,3,22,12,64,9
3,1,4,25,12,51,3,24,13,65,1
4,1,3,25,12,52,3,26,13,65,1
5,3,3,24,13,54,3,25,13,67,1
6,4,3,24,12,55,3,22,13,67,1
7,1,3,25,12,58,3,23,14,67,1
8,1,3,25,13,61,3,20,15,68,1
9,1,3,23,14,63,3,22,15,70,2
10,6,3,24,15,64,3,22,16,70,6
11,18,3,29,15,64,3,22,16,71,18
12,34,3,30,15,64,3,22,15,71,34
13,45,3,23,15,65,3,13,15,71,44
14,88,3,20,15,67,3,9,14,73,67
15,71,3,21,15,67,3,7,12,73,63
16,47,3,20,13,70,3,10,10,73,51
17,44,3,20,11,71,3,27,9,71,45
18,29,3,21,10,71,3,18,8,71,26
19,23,3,24,9,74,3,25,7,70,21
20,21,3,27,9,74,3,24,7,68,31
21,18,3,21,8,74,4,26,7,70,22
22,14,3,27,8,74,4,28,8,68,14
23,8,3,23,8,76,5,29,9,67,13
24,11,3,18,8,76,5,27,10,67,9
1,12,3,19,8,76,5,26,11,68,3
2,7,3,19,7,76,5,26,12,68,1
3,10,3,16,7,76,5,22,12,70,1
4,8,4,16,7,74,6,19,12,70,1
5,9,4,14,7,74,7,17,12,70,4
6,4,4,13,6,71,7,16,12,71,3
7,2,4,13,7,70,7,16,11,76,1
8,1,5,15,8,68,7,15,12,77,1
9,2,5,17,8,65,8,19,13,78,3
10,7,5,19,9,64,8,22,14,81,6
11,16,5,18,9,63,8,24,14,84,16
12,31,5,14,9,61,8,21,15,86,31
13,43,5,14,9,58,8,20,15,86,42
14,59,5,16,9,55,8,22,14,87,69
15,98,5,14,8,54,8,17,13,91,102
16,111,5,14,8,54,8,16,12,94,110
17,115,5,14,7,54,8,10,10,99,108
18,96,5,16,6,55,8,12,8,97,63
19,45,5,15,6,55,8,20,7,100,39
20,37,5,20,6,54,8,26,7,101,24
21,28,5,26,6,55,8,32,8,101,19
22,24,5,24,6,60,7,20,8,102,14
23,23,5,12,6,60,7,22,8,103,9
24,21,5,13,5,60,6,17,8,103,8
1,16,6,11,5,60,6,16,9,103,7
2,12,6,11,5,60,6,14,9,104,7
3,11,7,13,5,61,6,12,8,104,9
4,14,7,11,5,61,5,11,7,104,13
5,13,7,10,5,61,5,12,6,104,13
6,8,6,11,4,61,5,14,5,103,6
7,3,6,13,5,60,5,15,6,103,4
8,1,6,14,5,61,4,16,8,103,5
9,7,6,14,5,63,4,17,10,104,6
10,13,6,12,6,64,4,17,11,104,13
11,20,5,12,6,65,3,20,11,103,19
12,29,5,13,7,65,3,15,12,103,31
13,44,5,15,8,67,3,10,12,102,40
14,73,6,10,8,67,3,8,12,102,55
15,82,6,10,7,67,2,7,10,101,59
16,50,6,10,7,65,2,5,7,99,46
17,41,5,10,6,67,2,5,5,94,40
18,39,5,10,5,67,2,9,5,94,33
19,31,5,10,5,65,2,12,4,94,43
20,23,5,14,5,68,2,10,4,94,36
21,24,5,16,5,68,2,14,5,96,34
22,17,5,16,5,65,2,11,5,94,22
23,17,5,12,5,65,2,12,5,96,16
24,18,4,11,5,67,2,11,5,94,12
1,16,3,13,5,57,2,10,5,93,12
2,13,4,10,5,57,2,12,5,91,14
3,14,5,10,4,57,2,12,5,90,14
4,13,7,12,4,57,2,12,5,88,12
5,6,8,14,4,58,3,13,5,90,9
6,4,8,13,4,60,3,14,5,93,5
7,3,8,13,4,63,4,13,5,93,6
8,6,10,12,4,65,7,15,6,88,4
9,11,12,13,5,67,8,16,7,84,10
10,18,13,14,5,65,9,17,8,83,14
